Cliente,ventas_total,transacciones,items_total,ticket_prom
1,63.2,1,3,63.2
2,94,1,3,94
3,65.2,1,4,65.2
4,53.6,1,5,53.6
5,31.6,1,1,31.6
6,63.64,1,3,63.64
7,176.62,1,6,176.62
8,71.4,1,2,71.4
9,39.5,1,2,39.5
10,63.2,1,2,63.2
11,46,1,3,46
12,22.5,1,1,22.5
13,155.32,1,5,155.32
14,111.14,1,4,111.14
15,39,1,2,39
16,28.44,1,1,28.44
17,287.59,1,10,287.59
18,100.4,1,5,100.4
19,37.5,1,2,37.5
20,25,1,1,25
21,94,1,3,94
22,70.82,1,4,70.82
23,39.6,1,1,39.6
24,19.5,1,4,19.5
25,74,1,2,74
26,31.6,1,1,31.6
27,229.5,1,17,229.5
28,78,1,2,78
29,69,1,1,69
30,22.42,1,1,22.42
31,44.5,1,1,44.5
32,123.1,1,6,123.1
33,57.6,1,6,57.6
34,58,1,1,58
35,75,1,1,75
36,95.2,1,4,95.2
37,45.22,1,2,45.22
38,54.5,1,3,54.5
39,18,1,1,18
40,70.82,1,4,70.82
41,107,1,4,107
42,22.5,1,1,22.5
43,108.8,1,1,108.8
44,78,1,2,78
45,145.2,1,9,145.2
46,47.6,1,2,47.6
47,13.23,1,5,13.23
48,160.4,1,9,160.4
49,144,1,6,144
50,39.5,1,1,39.5
51,123.5,1,2,123.5
52,58.5,1,4,58.5
53,44.8,1,6,44.8
54,95.05,1,8,95.05
55,176.62,1,6,176.62
56,71.4,1,2,71.4
57,58,1,1,58
58,39,1,2,39
59,29.5,1,1,29.5
60,28.44,1,1,28.44
61,30.02,1,1,30.02
62,123.5,1,2,123.5
63,14.82,1,1,14.82
64,54,1,2,54
65,53.2,1,6,53.2
66,74,1,2,74
67,84.74,1,4,84.74
68,31.6,1,1,31.6
69,144,1,6,144
70,95.2,1,4,95.2
71,44.5,1,1,44.5
72,52.5,1,2,52.5
73,123.1,1,6,123.1
74,71.2,1,3,71.2
75,107,1,4,107
76,78,1,2,78
77,47.2,1,2,47.2
78,40,1,1,40
79,22.5,1,1,22.5
80,229.5,1,17,229.5
81,145.2,1,9,145.2
82,63.2,1,3,63.2
83,86.8,1,3,86.8
84,37.5,1,2,37.5
85,20.8,1,1,20.8
86,64.5,1,2,64.5
87,59.5,1,2,59.5
88,159.75,1,5,159.75
89,31.6,1,1,31.6
90,22.5,1,1,22.5
91,59.91,1,3,59.91
92,53.6,1,5,53.6
93,54,1,2,54
94,44.5,1,1,44.5
95,49.5,1,2,49.5
96,38.5,1,2,38.5
97,80.4,1,2,80.4
98,253,1,9,253
99,30.02,1,1,30.02
100,39.5,1,1,39.5
101,31.6,1,1,31.6
102,39.6,1,2,39.6
103,59.91,1,3,59.91
104,39.5,1,2,39.5
105,47.6,1,2,47.6
106,53.2,1,6,53.2
107,95.05,1,8,95.05
108,14.82,1,1,14.82
109,19.5,1,4,19.5
110,100.4,1,5,100.4
111,39.6,1,1,39.6
112,102.5,1,2,102.5
113,69,1,1,69
114,118.8,1,5,118.8
115,49.5,1,1,49.5
116,29.5,1,1,29.5
117,18,1,1,18
118,192.8,1,5,192.8
119,46,1,3,46
120,63.2,1,2,63.2
121,38.5,1,2,38.5
122,108.8,1,1,108.8
123,160.4,1,9,160.4
124,31.6,1,1,31.6
125,62.4,1,1,62.4
126,84.74,1,4,84.74
127,105.5,1,5,105.5
128,58,1,4,58
129,62.4,1,1,62.4
130,57.6,1,6,57.6
131,141.6,1,3,141.6
132,63.64,1,3,63.64
133,49.5,1,2,49.5
134,44.5,1,1,44.5
135,49.5,1,1,49.5
136,117.5,1,6,117.5
137,47.2,1,2,47.2
138,102.5,1,2,102.5
139,102.4,1,1,102.4
140,23.8,1,2,23.8
141,59.5,1,2,59.5
142,29.5,1,1,29.5
143,13.23,1,5,13.23
144,78,1,2,78
145,46.5,1,2,46.5
146,102.4,1,1,102.4
147,74,1,2,74
148,31.6,1,1,31.6
149,29.5,1,1,29.5
150,198.8,1,13,198.8
151,66,1,3,66
152,44.5,1,1,44.5
153,75,1,1,75
154,71.2,1,3,71.2
155,56.52,1,2,56.52
156,155.32,1,5,155.32
157,25,1,1,25
158,117.5,1,6,117.5
159,146.8,1,5,146.8
160,49.5,1,2,49.5
161,105.5,1,5,105.5
162,64.5,1,2,64.5
163,20.8,1,1,20.8
164,22.42,1,1,22.42
165,49.5,1,2,49.5
166,89,1,2,89
167,52.5,1,2,52.5
168,192.8,1,5,192.8
169,58.5,1,4,58.5
170,146.8,1,5,146.8
171,113,1,4,113
172,31.6,1,1,31.6
173,253,1,9,253
174,141.6,1,3,141.6
175,54.5,1,3,54.5
176,65.2,1,4,65.2
177,74,1,2,74
178,66,1,3,66
179,56.52,1,2,56.52
180,80.4,1,2,80.4
181,266,1,7,266
182,58,1,4,58
183,44.5,1,1,44.5
184,39.5,1,1,39.5
185,266,1,7,266
186,111.14,1,4,111.14
187,159.75,1,5,159.75
188,89,1,2,89
189,46.5,1,2,46.5
190,39.5,1,1,39.5
191,287.59,1,10,287.59
192,118.8,1,5,118.8
193,23.8,1,2,23.8
194,113,1,4,113
195,86.8,1,3,86.8
196,44.8,1,6,44.8
197,39.6,1,2,39.6
198,40,1,1,40
199,45.22,1,2,45.22
200,198.8,1,13,198.8
